SCLK,LMST,LTST,HORIZONTAL_WIND_SPEED,HORIZONTAL_WIND_SPEED_UNCERTAINTY,VERTICAL_WIND_SPEED,VERTICAL_WIND_SPEED_UNCERTAINTY,WIND_DIRECTION,WIND_DIRECTION_UNCERTAINTY,BOTH_BOOMS_USED_FOR_RETRIEVAL,ROVER_STILL
672620426.5,00064M12:04:54.306,0064 11:49:56,6.33,,,,71.23,,,1
672620427,00064M12:04:54.793,0064 11:49:57,6.23,,,,86.23,,,1
672620427.5,00064M12:04:55.280,0064 11:49:57,6.30,,,,71.23,,,1
672620428,00064M12:04:55.766,0064 11:49:58,5.48,,,,81.23,,,1
672620428.5,00064M12:04:56.253,0064 11:49:58,4.77,,,,81.23,,,1
672620429,00064M12:04:56.739,0064 11:49:59,5.85,,,,71.23,,,1
672620429.5,00064M12:04:57.226,0064 11:49:59,6.35,,,,71.23,,,1
672620430,00064M12:04:57.713,0064 11:50:00,6.44,,,,71.23,,,1
672620430.5,00064M12:04:58.199,0064 11:50:00,6.59,,,,76.23,,,1
672620431,00064M12:04:58.686,0064 11:50:01,6.46,,,,71.23,,,1
672620431.5,00064M12:04:59.173,0064 11:50:01,6.37,,,,71.23,,,1
672620432,00064M12:04:59.659,0064 11:50:02,4.70,,,,76.23,,,1
672620432.5,00064M12:05:00.146,0064 11:50:02,4.38,,,,76.23,,,1
672620433,00064M12:05:00.632,0064 11:50:03,4.79,,,,76.23,,,1
672620433.5,00064M12:05:01.119,0064 11:50:03,4.40,,,,81.23,,,1
672620434,00064M12:05:01.606,0064 11:50:04,5.07,,,,81.23,,,1
672620434.5,00064M12:05:02.092,0064 11:50:04,5.05,,,,81.23,,,1
672620435,00064M12:05:02.579,0064 11:50:05,3.96,,,,71.23,,,1
672620435.5,00064M12:05:03.066,0064 11:50:05,4.68,,,,91.23,,,1
672620436,00064M12:05:03.552,0064 11:50:06,5.08,,,,91.23,,,1
672620436.5,00064M12:05:04.039,0064 11:50:06,5.10,,,,86.23,,,1
672620437,00064M12:05:04.525,0064 11:50:07,5.65,,,,96.23,,,1
672620437.5,00064M12:05:05.012,0064 11:50:07,5.42,,,,91.23,,,1
672620438,00064M12:05:05.499,0064 11:50:08,5.23,,,,86.23,,,1
672620438.5,00064M12:05:05.985,0064 11:50:08,4.63,,,,86.23,,,1
672620439,00064M12:05:06.472,0064 11:50:09,4.73,,,,86.23,,,1
672620439.5,00064M12:05:06.959,0064 11:50:09,4.72,,,,91.23,,,1
672620440,00064M12:05:07.445,0064 11:50:10,4.63,,,,86.23,,,1
672620440.5,00064M12:05:07.932,0064 11:50:10,4.15,,,,81.23,,,1
672620441,00064M12:05:08.418,0064 11:50:11,4.45,,,,86.23,,,1
672620441.5,00064M12:05:08.905,0064 11:50:11,4.33,,,,81.23,,,1
672620442,00064M12:05:09.392,0064 11:50:12,3.93,,,,76.23,,,1
672620442.5,00064M12:05:09.878,0064 11:50:12,4.83,,,,81.23,,,1
672620443,00064M12:05:10.365,0064 11:50:13,7.51,,,,71.23,,,1
672620443.5,00064M12:05:10.852,0064 11:50:13,6.48,,,,71.23,,,1
672620444,00064M12:05:11.338,0064 11:50:14,6.27,,,,76.23,,,1
672620444.5,00064M12:05:11.825,0064 11:50:14,5.03,,,,81.23,,,1
672620445,00064M12:05:12.311,0064 11:50:14,4.70,,,,81.23,,,1
672620445.5,00064M12:05:12.798,0064 11:50:15,4.79,,,,76.23,,,1
672620446,00064M12:05:13.285,0064 11:50:15,6.18,,,,71.23,,,1
672620446.5,00064M12:05:13.771,0064 11:50:16,4.40,,,,76.23,,,1
672620447,00064M12:05:14.258,0064 11:50:16,4.64,,,,81.23,,,1
672620447.5,00064M12:05:14.745,0064 11:50:17,5.01,,,,91.23,,,1
672620448,00064M12:05:15.231,0064 11:50:17,5.27,,,,91.23,,,1
672620448.5,00064M12:05:15.718,0064 11:50:18,5.65,,,,81.23,,,1
672620449,00064M12:05:16.204,0064 11:50:18,5.56,,,,86.23,,,1
672620449.5,00064M12:05:16.691,0064 11:50:19,8.08,,,,101.23,,,1
672620450,00064M12:05:17.178,0064 11:50:19,5.66,,,,96.23,,,1
672620450.5,00064M12:05:17.664,0064 11:50:20,4.68,,,,91.23,,,1
672620451,00064M12:05:18.151,0064 11:50:20,4.70,,,,86.23,,,1
672620451.5,00064M12:05:18.638,0064 11:50:21,4.04,,,,76.23,,,1
672620452,00064M12:05:19.124,0064 11:50:21,4.60,,,,76.23,,,1
672620452.5,00064M12:05:19.611,0064 11:50:22,4.10,,,,76.23,,,1
672620453,00064M12:05:20.097,0064 11:50:22,5.59,,,,71.23,,,1
672620453.5,00064M12:05:20.584,0064 11:50:23,5.59,,,,71.23,,,1
672620454,00064M12:05:21.071,0064 11:50:23,5.54,,,,71.23,,,1
672620454.5,00064M12:05:21.557,0064 11:50:24,4.88,,,,76.23,,,1
672620455,00064M12:05:22.044,0064 11:50:24,7.19,,,,71.23,,,1
672620455.5,00064M12:05:22.531,0064 11:50:25,7.13,,,,66.23,,,1
672620456,00064M12:05:23.017,0064 11:50:25,6.50,,,,71.23,,,1
672620456.5,00064M12:05:23.504,0064 11:50:26,6.51,,,,71.23,,,1
672620457,00064M12:05:23.990,0064 11:50:26,6.27,,,,71.23,,,1
672620457.5,00064M12:05:24.477,0064 11:50:27,6.33,,,,66.23,,,1
672620458,00064M12:05:24.964,0064 11:50:27,6.39,,,,71.23,,,1
672620458.5,00064M12:05:25.450,0064 11:50:28,6.30,,,,71.23,,,1
672620459,00064M12:05:25.937,0064 11:50:28,6.35,,,,66.23,,,1
672620459.5,00064M12:05:26.424,0064 11:50:29,6.47,,,,71.23,,,1
672620460,00064M12:05:26.910,0064 11:50:29,6.29,,,,66.23,,,1
672620460.5,00064M12:05:27.397,0064 11:50:30,6.05,,,,71.23,,,1
672620461,00064M12:05:27.883,0064 11:50:30,5.79,,,,71.23,,,1
672620461.5,00064M12:05:28.370,0064 11:50:31,5.97,,,,71.23,,,1
672620462,00064M12:05:28.857,0064 11:50:31,6.33,,,,66.23,,,1
672620462.5,00064M12:05:29.343,0064 11:50:32,6.08,,,,66.23,,,1
672620463,00064M12:05:29.830,0064 11:50:32,7.08,,,,71.23,,,1
672620463.5,00064M12:05:30.317,0064 11:50:33,8.57,,,,71.23,,,1
672620464,00064M12:05:30.803,0064 11:50:33,7.52,,,,71.23,,,1
672620464.5,00064M12:05:31.290,0064 11:50:33,7.86,,,,71.23,,,1
672620465,00064M12:05:31.776,0064 11:50:34,8.05,,,,71.23,,,1
672620465.5,00064M12:05:32.263,0064 11:50:34,6.86,,,,76.23,,,1
672620466,00064M12:05:32.750,0064 11:50:35,6.78,,,,71.23,,,1
672620466.5,00064M12:05:33.236,0064 11:50:35,6.54,,,,71.23,,,1
672620467,00064M12:05:33.723,0064 11:50:36,7.03,,,,71.23,,,1
672620467.5,00064M12:05:34.210,0064 11:50:36,6.72,,,,71.23,,,1
672620468,00064M12:05:34.696,0064 11:50:37,6.26,,,,71.23,,,1
672620468.5,00064M12:05:35.183,0064 11:50:37,6.23,,,,71.23,,,1
672620469,00064M12:05:35.669,0064 11:50:38,4.92,,,,86.23,,,1
672620469.5,00064M12:05:36.156,0064 11:50:38,4.64,,,,81.23,,,1
672620470,00064M12:05:36.643,0064 11:50:39,4.81,,,,86.23,,,1
672620470.5,00064M12:05:37.129,0064 11:50:39,4.81,,,,86.23,,,1
672620471,00064M12:05:37.616,0064 11:50:40,8.50,,,,96.23,,,1
672620471.5,00064M12:05:38.103,0064 11:50:40,5.12,,,,91.23,,,1
672620472,00064M12:05:38.589,0064 11:50:41,5.06,,,,91.23,,,1
672620472.5,00064M12:05:39.076,0064 11:50:41,5.94,,,,96.23,,,1
672620473,00064M12:05:39.562,0064 11:50:42,5.30,,,,101.23,,,1
672620473.5,00064M12:05:40.049,0064 11:50:42,6.00,,,,91.23,,,1
672620474,00064M12:05:40.536,0064 11:50:43,5.85,,,,96.23,,,1
672620474.5,00064M12:05:41.022,0064 11:50:43,5.24,,,,101.23,,,1
672620475,00064M12:05:41.509,0064 11:50:44,6.03,,,,101.23,,,1
672620475.5,00064M12:05:41.996,0064 11:50:44,6.18,,,,96.23,,,1
672620476,00064M12:05:42.482,0064 11:50:45,5.73,,,,91.23,,,1
672620476.5,00064M12:05:42.969,0064 11:50:45,5.28,,,,91.23,,,1
672620477,00064M12:05:43.455,0064 11:50:46,9.28,,,,101.23,,,1
672620477.5,00064M12:05:43.942,0064 11:50:46,5.75,,,,91.23,,,1
672620478,00064M12:05:44.429,0064 11:50:47,6.24,,,,71.23,,,1
672620478.5,00064M12:05:44.915,0064 11:50:47,5.39,,,,81.23,,,1
672620479,00064M12:05:45.402,0064 11:50:48,5.80,,,,86.23,,,1
672620479.5,00064M12:05:45.889,0064 11:50:48,5.66,,,,86.23,,,1
672620480,00064M12:05:46.375,0064 11:50:49,4.93,,,,81.23,,,1
672620480.5,00064M12:05:46.862,0064 11:50:49,5.28,,,,91.23,,,1
672620481,00064M12:05:47.349,0064 11:50:50,4.88,,,,86.23,,,1
672620481.5,00064M12:05:47.835,0064 11:50:50,4.67,,,,86.23,,,1
